unix,low,high,open,close,volume,date,vol_fiat
1638316800,207.821,225.299,208.716,225.11,976945.585,2021-12-01,219920220.63935
1638230400,199.711,218.549,204.205,208.676,1473322.714,2021-11-30,307447090.66666394
1638144000,199.863,212.993,200.838,204.187,1358697.217,2021-11-29,277428308.647579
1638057600,181.067,203.009,192.942,200.907,1111076.894,2021-11-28,223223125.54285803
1637971200,190.627,199.511,192.481,192.952,900431.578,2021-11-27,173740073.838256
1637884800,182.91,210.647,210.124,192.541,1795806.773,2021-11-26,345766431.880193
1637798400,202.054,216.5,205.752,210.139,1140446.083,2021-11-25,239652199.43553704
1637712000,200.14,222.073,221.971,205.685,1328554.69,2021-11-24,273263771.41265
1637625600,211.0,226.193,215.768,221.97,996750.961,2021-11-23,221248810.81317002
1637539200,211.757,232.269,230.752,215.788,1516214.968,2021-11-22,327180995.51478404
1637452800,210.622,235.584,217.865,230.785,1263272.834,2021-11-21,291544420.99469
1637366400,206.0,221.374,215.441,217.865,912974.488,2021-11-20,198905186.82812002
1637280000,189.266,220.0,195.265,215.385,1735514.617,2021-11-19,373803815.78254503
1637193600,186.77,222.886,219.04,195.252,2542061.849,2021-11-18,496342660.140948
1637107200,209.943,222.525,219.191,219.044,1535925.221,2021-11-17,336435204.108724
1637020800,214.469,238.219,238.217,219.155,1744298.106,2021-11-16,382271651.42043
1636934400,234.316,246.382,238.735,238.218,1106931.928,2021-11-15,263691110.024304
1636848000,230.481,242.07,241.718,238.702,883162.651,2021-11-14,210812691.11900198
1636761600,224.919,242.098,228.486,241.776,972796.74,2021-11-13,235198904.61024
1636675200,221.0,239.0,233.477,228.53,1241944.182,2021-11-12,283821503.91246
1636588800,229.508,246.49,233.2,233.498,1187779.661,2021-11-11,277344175.284178
1636502400,217.0,248.163,239.045,233.277,1713405.863,2021-11-10,399698179.5030509
1636416000,237.536,253.259,248.354,239.045,1299758.057,2021-11-09,310700664.735565
1636329600,240.583,253.391,249.807,248.422,1451021.989,2021-11-08,360465784.551358
1636243200,245.8,258.926,258.764,249.808,1032555.641,2021-11-07,257940659.56692797
1636156800,235.016,260.0,236.306,258.763,1398599.741,2021-11-06,361905864.78038293
1636070400,230.537,248.622,247.202,236.364,1200989.781,2021-11-05,283870748.596284
1635984000,234.421,250.566,243.525,247.244,1905230.547,2021-11-04,471056821.362468
1635897600,216.003,246.884,221.031,243.553,2683716.258,2021-11-03,653627145.7846739
1635811200,201.024,222.428,204.061,221.168,1588257.618,2021-11-02,351271760.857824
1635724800,197.85,211.687,202.673,204.035,1629045.016,2021-11-01,332382199.83956003
1635638400,185.584,205.264,195.924,202.673,1261559.945,2021-10-31,255684138.73298502
1635552000,187.51,200.687,200.428,195.913,890535.465,2021-10-30,174467474.55454502
1635465600,194.627,205.307,195.481,200.439,1263193.234,2021-10-29,253193188.629726
1635379200,181.75,201.561,184.682,195.377,1854736.75,2021-10-28,362372902.00475
1635292800,179.761,205.599,199.911,184.682,2409699.187,2021-10-27,445028065.25353396
1635206400,196.446,214.163,209.585,199.857,1686387.215,2021-10-26,337036289.628255
1635120000,198.127,218.97,202.303,209.6,1982476.011,2021-10-25,415526971.90559995
1635033600,185.313,205.0,197.71,202.304,1541736.74,2021-10-24,311899509.44896
1634947200,192.017,205.719,196.246,197.707,1343191.296,2021-10-23,265558321.558272
1634860800,188.025,215.0,190.501,196.247,3388534.536,2021-10-22,664989737.086392
1634774400,176.759,194.415,176.759,190.473,3159255.295,2021-10-21,601752833.804535
1634688000,155.144,176.89,155.852,176.787,1543942.471,2021-10-20,272948957.620677
1634601600,153.183,159.4,157.125,155.85,701464.136,2021-10-19,109323185.59560001
1634515200,155.0,162.952,160.132,157.15,770654.878,2021-10-18,121108414.0777
1634428800,153.2,167.5,157.615,160.097,934358.565,2021-10-17,149588003.180805
1634342400,156.578,164.766,163.193,157.562,663795.43,2021-10-16,104588935.54166001
1634256000,146.75,165.268,150.026,163.214,1745195.785,2021-10-15,284840384.85299
1634169600,147.318,155.65,148.068,150.016,1147763.989,2021-10-14,172182962.573824
1634083200,144.344,155.549,152.441,148.039,1172944.074,2021-10-13,173641467.77088597
1633996800,137.66,153.626,144.854,152.452,2273847.701,2021-10-12,346652629.712852
1633910400,140.175,154.0,147.637,144.853,1380478.104,2021-10-11,199966394.79871202
1633824000,145.67,158.554,156.783,147.624,868755.423,2021-10-10,128249150.56495199
1633737600,154.23,161.581,158.858,156.827,1039124.53,2021-10-09,162962782.66631
1633651200,152.368,169.0,154.355,158.833,1679953.047,2021-10-08,266831982.314151
1633564800,150.35,161.5,153.949,154.338,1709809.442,2021-10-07,263888569.659396
1633478400,150.29,165.527,164.679,153.922,2138586.249,2021-10-06,329175472.61857796
1633392000,160.0,170.25,167.231,164.623,1500271.579,2021-10-05,246979208.14971697
1633305600,162.102,173.151,173.15,167.212,1442327.633,2021-10-04,241174488.16919598
1633219200,165.537,177.935,169.057,173.129,1326862.196,2021-10-03,229718325.131284
1633132800,156.24,175.108,161.682,168.979,1698493.988,2021-10-02,287009815.598252
1633046400,138.242,165.0,141.358,161.649,2216533.667,2021-10-01,358300450.736883
1632960000,134.069,142.951,135.241,141.358,1465567.481,2021-09-30,207169687.97919798
1632873600,131.101,140.156,132.214,135.304,1627779.074,2021-09-29,220245019.828496
1632787200,128.167,139.484,136.378,132.182,1352512.649,2021-09-28,178777826.970118
1632700800,133.75,149.0,135.632,136.35,1726577.772,2021-09-27,235418879.21220002
1632614400,125.0,140.888,136.109,135.698,1490127.859,2021-09-26,202207370.210582
1632528000,133.554,144.09,139.272,136.117,1164823.189,2021-09-25,158552238.017113
1632441600,128.0,151.421,150.0,139.308,2948981.097,2021-09-24,410816658.660876
1632355200,143.021,152.477,148.19,150.034,2203577.139,2021-09-23,330611492.472726
1632268800,122.105,152.408,124.219,148.197,4596483.091,2021-09-22,681185004.636927
1632182400,116.0,144.653,132.622,124.3,4647220.266,2021-09-21,577649479.0638
1632096000,130.275,153.432,152.81,132.567,4576526.507,2021-09-20,606696389.453469
1632009600,150.66,171.06,169.391,152.842,2365355.373,2021-09-19,361525645.92006606
1631923200,144.2,171.726,147.619,169.336,3950219.334,2021-09-18,668914341.1422241
1631836800,134.1,153.341,152.018,147.592,3754629.705,2021-09-17,554153307.4203601
1631750400,147.254,162.95,158.478,152.043,2056945.058,2021-09-16,312744097.453494
1631664000,153.75,166.386,158.64,158.433,2604815.418,2021-09-15,412688721.119994
1631577600,142.0,171.95,169.57,158.64,4242412.34,2021-09-14,673016293.6176
1631491200,150.331,175.153,174.288,169.797,4089808.101,2021-09-13,694437146.125497
1631404800,170.175,181.675,179.122,174.272,1620970.25,2021-09-12,282489727.408
1631318400,175.3,193.775,179.557,179.122,2638639.869,2021-09-11,472638450.615018
1631232000,167.808,197.489,187.907,179.51,4013536.024,2021-09-10,720469851.66824
1631145600,180.901,216.47,190.927,187.908,6536735.823,2021-09-09,1228304955.0282838
1631059200,146.69,198.0,173.4,191.03,6756738.524,2021-09-08,1290739760.23972
1630972800,134.242,200.0,164.377,173.4,9199937.041,2021-09-07,1595269082.9094
1630886400,137.512,166.206,142.137,164.316,3112382.442,2021-09-06,511414233.33967197
1630800000,135.011,145.258,139.01,142.138,1848408.649,2021-09-05,262729108.551562
1630713600,135.681,150.721,146.487,138.998,2581545.357,2021-09-04,358829641.5322859
1630627200,128.174,149.062,128.339,146.524,4579017.233,2021-09-03,670935921.048092
1630540800,109.203,132.162,110.674,128.346,3311427.776,2021-09-02,425008509.338496
1630454400,105.96,119.68,108.29,110.671,3442549.797,2021-09-01,380990428.583787
1630368000,103.099,130.066,110.347,108.29,6557518.475,2021-08-31,710113675.65775
1630281600,93.722,116.6,94.305,110.347,4791434.929,2021-08-30,528720470.11036295
1630195200,90.403,97.836,96.254,94.287,1382531.706,2021-08-29,130354766.963622
1630108800,85.634,98.0,88.087,96.246,2092854.72,2021-08-28,201428895.38112
1630022400,72.577,88.881,74.905,88.053,2938270.348,2021-08-27,258723518.95244402
1629936000,66.254,78.372,72.0,74.823,3107777.074,2021-08-26,232533204.00790197
1629849600,66.151,72.82,70.503,71.986,1664086.031,2021-08-25,119790897.027566
1629763200,68.595,79.467,75.655,70.591,2213179.66,2021-08-24,156230565.37906
1629676800,71.548,76.783,72.811,75.655,1353786.018,2021-08-23,102420681.19179
1629590400,71.321,77.64,73.896,72.809,919777.031,2021-08-22,66968045.85007899
1629504000,72.672,82.044,78.72,73.937,1561200.394,2021-08-21,115430473.531178
1629417600,70.926,80.0,72.803,78.746,2237442.953,2021-08-20,176189682.776938
1629331200,68.339,75.496,72.703,72.831,2780702.829,2021-08-19,202521367.738899
1629244800,59.772,80.55,64.209,72.736,5284962.631,2021-08-18,384407041.928416
1629158400,58.677,75.0,62.087,64.169,4654781.901,2021-08-17,298692699.80526894
1629072000,52.3,69.8,53.565,62.055,3983494.186,2021-08-16,247195731.71223003
1628985600,43.427,54.778,44.201,53.556,2003802.362,2021-08-15,107315639.29927199
1628899200,42.8,44.906,44.885,44.178,356870.109,2021-08-14,15765807.675401999
1628812800,40.702,44.963,41.126,44.9,899382.997,2021-08-13,40382296.565299995
1628726400,39.286,43.49,41.653,41.102,771888.11,2021-08-12,31726145.097219996
1628640000,40.634,43.749,40.691,41.65,705570.472,2021-08-11,29387010.1588
1628553600,38.222,41.768,38.679,40.691,637857.285,2021-08-10,25955050.783935003
1628467200,36.382,40.023,37.69,38.676,480575.521,2021-08-09,18586738.850196
1628380800,36.92,39.594,39.506,37.689,383241.282,2021-08-08,14443980.677298
1628294400,37.571,40.496,39.52,39.516,600846.645,2021-08-07,23743056.023819998
1628208000,35.672,40.453,37.427,39.513,709576.505,2021-08-06,28037496.442065
1628121600,35.483,38.28,35.779,37.398,830964.109,2021-08-05,31076395.748382006
1628035200,33.268,36.662,34.116,35.794,733114.835,2021-08-04,26241112.403989997
1627948800,32.36,35.878,33.227,34.116,795903.493,2021-08-03,27153043.567188
1627862400,33.03,35.93,34.162,33.187,731191.72,2021-08-02,24266059.61164
1627776000,33.276,36.866,36.8,34.198,659610.671,2021-08-01,22557365.726857997
1627689600,31.705,37.0,32.389,36.759,906618.344,2021-07-31,33326383.707096003
1627603200,29.998,33.082,31.309,32.41,995658.776,2021-07-30,32269300.930159993
1627516800,27.33,31.935,27.894,31.295,604801.5,2021-07-29,18927262.942500003
1627430400,27.38,28.782,28.152,27.899,600058.97,2021-07-28,16741045.20403
1627344000,26.909,29.013,28.2,28.158,704029.709,2021-07-27,19824068.546022
1627257600,27.883,31.103,28.26,28.196,1209188.418,2021-07-26,34094276.633928
1627171200,26.556,28.896,28.652,28.253,450179.708,2021-07-25,12718927.290124
1627084800,28.036,29.508,28.554,28.65,407701.845,2021-07-24,11680657.859249998
1626998400,26.404,28.704,27.706,28.539,473682.475,2021-07-23,13518424.154025
1626912000,25.935,28.193,26.702,27.713,533994.037,2021-07-22,14798576.747381002
1626825600,22.818,27.476,23.489,26.691,648433.046,2021-07-21,17307326.430786
1626739200,22.139,24.993,24.539,23.472,684942.446,2021-07-20,16076969.092512
1626652800,24.0,26.711,26.711,24.524,704230.827,2021-07-19,17270556.801348
1626566400,26.265,27.753,26.743,26.696,187697.59,2021-07-18,5010774.86264
1626480000,26.0,27.822,26.291,26.764,371501.752,2021-07-17,9942872.890527999
1626393600,26.204,29.48,28.575,26.296,336913.017,2021-07-16,8859464.695031999
1626307200,28.0,31.5,31.33,28.594,488220.773,2021-07-15,13960184.783162
1626220800,27.442,31.468,29.173,31.349,384559.63,2021-07-14,12055559.84087
1626134400,28.831,31.09,30.792,29.15,338740.808,2021-07-13,9874294.5532
1626048000,30.0,32.686,32.191,30.749,330887.037,2021-07-12,10174445.500713
1625961600,31.368,32.551,31.716,32.2,229085.018,2021-07-11,7376537.579600001
1625875200,31.069,34.223,33.3,31.722,317809.595,2021-07-10,10081555.97259
1625788800,32.0,34.43,33.163,33.335,342965.297,2021-07-09,11432748.175495
1625702400,32.586,36.962,36.678,33.161,656095.499,2021-07-08,21756782.842338998
1625616000,33.83,38.1,34.213,36.718,902836.013,2021-07-07,33150332.725334004
1625529600,32.909,35.048,32.922,34.217,348023.099,2021-07-06,11908306.378483
1625443200,32.45,34.479,34.304,32.92,250865.933,2021-07-05,8258506.51436
1625356800,33.582,35.504,34.536,34.332,243588.038,2021-07-04,8362864.5206160005
1625270400,33.26,35.392,33.991,34.558,261802.341,2021-07-03,9047365.300277999
1625184000,31.408,34.1,33.28,33.991,458577.488,2021-07-02,15587507.394608
1625097600,32.182,35.601,35.545,33.29,541918.057,2021-07-01,18040452.11753
1625011200,31.602,36.0,33.951,35.565,754720.572,2021-06-30,26841637.14318
1624924800,32.655,35.829,33.033,33.963,553005.369,2021-06-29,18781721.347347
1624838400,31.01,34.323,31.935,33.013,459757.887,2021-06-28,15177987.123530999
1624752000,29.205,31.98,29.739,31.92,431491.168,2021-06-27,13773198.082560001
1624665600,26.72,30.121,28.6,29.739,469759.094,2021-06-26,13970165.696466
1624579200,27.93,32.98,31.201,28.646,646762.929,2021-06-25,18527170.864134002
1624492800,28.477,33.0,30.851,31.187,883030.908,2021-06-24,27539084.927796002
1624406400,25.682,32.957,26.979,30.838,1145606.989,2021-06-23,35328228.326782
1624320000,20.181,28.773,26.631,26.982,1438737.713,2021-06-22,38820020.972166
1624233600,26.0,35.532,35.286,26.625,836374.38,2021-06-21,22268467.8675
1624147200,31.324,35.954,35.2,35.271,287189.023,2021-06-20,10129444.030233
1624060800,34.977,37.361,36.875,35.2,263002.615,2021-06-19,9257692.048
1623974400,35.0,39.45,39.321,36.842,471361.712,2021-06-18,17365908.193504
1623888000,38.219,40.5,40.5,39.25,202117.954,2021-06-17,7933129.6945
